生命周期碳足迹计算过程（全部自动公式）,,,
,,,
计算模块,计算项,计算逻辑,当前结果预览
原材料阶段,正极材料排放,质量 x 排放因子,700
原材料阶段,负极材料排放,质量 x 排放因子,455
原材料阶段,电解液排放,质量 x 排放因子,280
原材料阶段,隔膜排放,质量 x 排放因子,54
原材料阶段,铜材排放,质量 x 排放因子,190
原材料阶段,铝材直接排放,质量 x 直接因子,720
原材料阶段,铝材间接排放,质量 x 间接因子,400
原材料阶段,钢材直接排放,质量 x 直接因子,60
原材料阶段,钢材间接排放,质量 x 间接因子,21
原材料阶段,塑料件排放,质量 x 排放因子,75
原材料阶段,其他材料排放,质量 x 排放因子,230
原材料阶段,原材料阶段合计,上述求和,3185
制造阶段,电网电排放,用量 x 因子,247.5
制造阶段,绿电排放,用量 x 因子,7.5
制造阶段,蒸汽排放,用量 x 因子,15.4
制造阶段,天然气排放,用量 x 因子,6.72
制造阶段,制造阶段良率调整前,能耗排放 + 工艺排放,295.1200000000001
制造阶段,制造阶段良率调整后,良率调整后结果,313.9574468085107
运输阶段,运输阶段合计,上游运输 + 下游运输,42
终端回收,终端回收信用,回收信用输入,-15
总量,整包总碳足迹,各阶段汇总,3525.957446808511
总量,整包碳足迹强度,整包总碳足迹 / 容量,48.97163120567376
阶段强度,原材料阶段强度,原材料阶段合计 / 容量,44.23611111111111
阶段强度,制造阶段强度,制造阶段合计 / 容量,4.360520094562649
阶段强度,运输阶段强度,运输阶段合计 / 容量,0.5833333333333334
阶段强度,终端回收阶段强度,终端回收信用 / 容量,-0.2083333333333333
CBAM影子,铝材总嵌入排放,铝材直接 + 间接,1120
CBAM影子,钢材总嵌入排放,钢材直接 + 间接,81
CBAM影子,覆盖材料总嵌入排放,铝材 + 钢材,1201
CBAM影子,覆盖材料占整包总排放比重,覆盖材料总嵌入排放 / 整包总碳足迹,0.3406167028723148
