09_EU中间表,,,
,,,
分组,目标字段,单位,当前结果预览
基本信息,制造商名称,文本,CATL
基本信息,产品名称,文本,CATL 通用电池产品模板（Generic Example）
基本信息,电池型号,文本,GENERIC-BATTERY-MODEL-001
基本信息,产品类别,文本,EV battery / ESS battery / special application
基本信息,化学体系,文本,LFP / LMFP / NMC（模板示例）
基本信息,制造工厂代码,文本,CN-PLANT-TEMPLATE-001
基本信息,制造工厂名称,文本,某制造工厂（模板）
基本信息,报告期,文本,2026Q1
产品参数,申报单元申报单元额定容量(kWh),kWh,72
产品参数,标称电压(V),V,800
产品参数,循环寿命(cycles),cycles,4000
碳足迹,声明总碳足迹(kgCO2e/申报单元),kgCO2e/declared unit,3525.957446808511
碳足迹,声明总碳足迹(kgCO2e/kWh),kgCO2e/kWh,48.97163120567376
碳足迹,原材料阶段(kgCO2e/kWh),kgCO2e/kWh,44.23611111111111
碳足迹,制造阶段(kgCO2e/kWh),kgCO2e/kWh,4.360520094562649
碳足迹,运输阶段(kgCO2e/kWh),kgCO2e/kWh,0.5833333333333334
碳足迹,终端回收阶段(kgCO2e/kWh),kgCO2e/kWh,-0.2083333333333333
再生材料,再生锂占比,%,0.08
再生材料,再生钴占比,%,0
再生材料,再生镍占比,%,0
再生材料,再生铅占比,%,0
尽调与追溯,尽调政策链接,文本,https://www.catl.com/
尽调与追溯,关键原材料追溯范围,文本,lithium / graphite / aluminium / copper / steel
尽调与追溯,供应链追溯覆盖率,%,0.92
文件与护照,产品碳足迹研究底稿状态,文本,齐备
文件与护照,测试报告状态,文本,齐备
文件与护照,技术文档状态,文本,齐备
文件与护照,护照对象 ID,文本,passport-demo-001
文件与护照,个体电池编码前缀,文本,SXP25Q4
综合状态,EU 输出完备度,%,1
综合状态,EU 输出结论,文本,可作为通用模板示例输出
