字段字典：把每个输入字段背后的治理信息写清楚,,,,,,,,,,,,,,
这个 Sheet 是整个工作簿的元数据中心。01_手动输入右侧的治理列全部从这里自动带出。,,,,,,,,,,,,,,
原类别,字段代码,中文字段名,字段数据类型,是否必填,录入方式,建议来源系统,字段责任人,保密等级,校验规则ID,缺口状态,可直接复用CATL公开披露?,下一步动作,主要影响输出,当前字段说明
A. 基本身份,manufacturer_name,制造商名称,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,可直接复用,可直接引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,公司主体识别字段
A. 基本身份,product_name,产品名称,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,用于任意 CATL 电池产品的模板名称，而非固定神行案例
A. 基本身份,model_code,电池型号代码,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期,EU+CBAM,通用模板的产品锚点，可替换为任意实际型号
A. 基本身份,battery_category,产品业务类别,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,这是业务和产品线分类；正式欧盟监管适用类别请看 regulatory_battery_class
A. 基本身份,chemistry,化学体系,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,保留化学体系接口，但不绑定单一神行配方
A. 基本身份,plant_code,制造工厂代码,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期,EU+CBAM,主要制造工厂代码；若产品还涉及单独总成装配地点，请同时填写 assembly_site_* 字段
A. 基本身份,plant_name,制造工厂名称,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,主要制造工厂名称；用于绑定主申报工厂
A. 基本身份,reporting_period,产品报告期,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-012,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期,EU+CBAM,模板示例周期，实际应用时按产品与工厂报告期填写
A. 基本身份,regulatory_battery_class,监管适用类别,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,区分业务产品类别与欧盟监管适用类别，避免两者混在一起
A. 基本身份,declared_boundary_note,申报边界说明,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,明确申报单元到底包含哪些部件，是通用模板非常关键的边界字段
A. 基本身份,cell_count_per_unit,申报单元电芯数量,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,支持从 cell 到 module、pack、system 的结构展开
A. 基本身份,module_count_per_unit,申报单元模组数量,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,当申报对象是 pack 或 system 时，这个接口能避免模板只会按单层结构理解
A. 基本身份,assembly_site_code,总成装配地点代码,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,支持电芯制造工厂与总成装配地点不一致的通用产品场景
