权限映射：谁能看哪些数据,,,
,,,
目标制度,目标字段,字段类型,访问层级
EU,制造商名称,公开识别字段,公开
EU,产品名称,公开展示字段,公开
EU,电池型号,产品锚点,受限
EU,产品类别,公开产品字段,公开
EU,化学体系,公开产品字段,公开
EU,制造工厂代码,工厂锚点,受限
EU,制造工厂名称,工厂识别字段,受限
EU,报告期,时间锚点,受限
EU,申报单元申报单元额定容量(kWh),公开性能参数,公开
EU,标称电压(V),公开性能参数,公开
EU,循环寿命(cycles),公开性能参数,公开
EU,声明总碳足迹(kgCO2e/申报单元),公开合规结果,公开
EU,声明总碳足迹(kgCO2e/kWh),公开合规结果,公开
EU,原材料阶段(kgCO2e/kWh),阶段拆分结果,受限
EU,制造阶段(kgCO2e/kWh),阶段拆分结果,受限
EU,运输阶段(kgCO2e/kWh),阶段拆分结果,受限
EU,终端回收阶段(kgCO2e/kWh),阶段拆分结果,受限
EU,再生锂占比,公开合规结果,公开
EU,再生钴占比,公开合规结果,公开
EU,再生镍占比,公开合规结果,公开
EU,再生铅占比,公开合规结果,公开
EU,尽调政策链接,公开政策字段,公开
EU,关键原材料追溯范围,公开摘要字段,公开
EU,供应链追溯覆盖率,内部管理指标,受限
EU,产品碳足迹研究底稿状态,内部状态字段,内部
EU,测试报告状态,内部状态字段,内部
EU,技术文档状态,内部状态字段,内部
EU,护照对象 ID,系统主键,受限
EU,个体电池编码前缀,序列化规则,受限
EU,EU 输出完备度,内部管理指标,内部
EU,EU 输出结论,汇报摘要字段,公开
CBAM,电池型号,产品锚点,受限
CBAM,产品报告期,时间锚点,受限
CBAM,上游材料报告期,上游锚点,受限
CBAM,铝材供应商安装点 ID,供应商安装点,高度受限
CBAM,铝材质量(kg),敏感材料数据,受限
CBAM,铝材直接排放因子(kgCO2e/kg),敏感上游因子,高度受限
CBAM,铝材间接排放因子(kgCO2e/kg),敏感上游因子,高度受限
CBAM,铝材总嵌入排放(kgCO2e/申报单元),上游结果字段,受限
CBAM,铝材核验状态,供应商核验状态,内部
CBAM,钢材供应商安装点 ID,供应商安装点,高度受限
CBAM,钢材质量(kg),敏感材料数据,受限
CBAM,钢材直接排放因子(kgCO2e/kg),敏感上游因子,高度受限
CBAM,钢材间接排放因子(kgCO2e/kg),敏感上游因子,高度受限
CBAM,钢材总嵌入排放(kgCO2e/申报单元),上游结果字段,受限
CBAM,钢材核验状态,供应商核验状态,内部
CBAM,覆盖材料总嵌入排放(kgCO2e/申报单元),影子汇总结果,受限
CBAM,覆盖材料占整包总排放比重,兼容分析指标,受限
CBAM,供应商 PCF 覆盖率,内部管理指标,内部
CBAM,CBAM 兼容输出完备度,内部管理指标,内部
CBAM,CBAM 兼容输出结论,汇报摘要字段,公开
