假设与限制：把能做和不能做说清楚，反而更专业,,,,,
你后面给老师、同学、企业高管讲这套工具时，这张表就是你的“防误解护城河”。,,,,,
编号,假设/限制,这意味着什么,对比赛叙事的影响,后续如何补强,当前等级
ASM-001,当前产品数据是公开架构 + demo 数值，不是真实 CATL 内部报送值,这是一套原型，不是法定申报包,可以讲方法，不要冒充正式报送,后续接真实企业数据,必须说明
ASM-002,欧盟电池法规下部分实施细则还会继续细化,字段框架可以先搭，但具体格式未来可能更新,讲“可升级结构”而不是“一步到位”,保留版本管理和规则更新机制,必须说明
ASM-003,CBAM 当前不等于直接覆盖整块动力电池,我们这里做的是上游材料 CBAM 风格兼容模块,可以讲“兼容”，不要讲“直接代替正式 CBAM 申报”,继续跟踪法定范围变化,必须说明
ASM-004,Tractus-X/Catena-X 不是自动合规翻译器,它更像可信交换底座,HKU 的价值仍然在映射系统，不在传输协议本身,后续做接口对接,必须说明
ASM-005,当前没有接入 NB/TUV 的正式流程,所以不能说已经通过法定核验,只能讲影子核验和预备结构,后续邀请第三方评审,必须说明
ASM-006,当前没有真实证据文件仓库与签批流,证据逻辑已建，但企业治理还没完全落地,比赛上可以展示治理设计能力,后续接 DMS/审批流,高优先
ASM-007,中国大陆、香港、欧盟三方对数据主权的看法并不一致,这不是单靠技术就能彻底解决的,方案里要强调最小披露、分层访问、受控核验,后续拉法务参与,高优先
ASM-008,现有 CATL 公开披露主要还是公司/entity 级,需要继续拆成型号/工厂/供应商级,正好说明为什么要做四层映射,后续补字段绑定关系,高优先
ASM-009,当前 Excel 只是最容易讨论的载体,真正企业系统未来更适合做成前端 + API + 权限系统,Excel 是原型，不是最终产品形态,后续前端化,中优先
ASM-010,排放因子如果没有欧盟认可路径，仍可能被采用更保守默认值,这正是中欧口径转换系统存在的意义,要把这点讲成项目必要性，而不是缺陷,做因子校准和对照报告,高优先
