CATL 四层映射引擎 Enterprise Prototype 总览,,,,,,,
这不是最终法定申报系统，而是一套更接近企业可落地形态的合规原型：一个入口录入，自动生成 EU Battery Regulation 输出、CBAM 影子输出、证据链和治理链。,,,,,,,
,,,,,,,
模块,指标,当前值,解释,模块,指标,当前值,解释
输入层,手动输入字段总数,86,目前共维护多少个输入字段,治理层,高优先级缺口数,8,最应该优先补的系统缺口
输入层,已填输入字段数,86,实际输入值列中已填的字段数,治理层,证据包总数,18,关键证据包数量
输入层,输入完成率,1,用于快速判断 demo 是否跑得起来,治理层,证据包已具备,15,已经达到可支撑输出的证据包
EU 输出,EU 输出字段数,31,欧盟电池法输出字段条数,治理层,校验规则数,15,已写进系统的规则条数
EU 输出,EU 已生成条数,31,公式已生成的条数,治理层,校验通过数,14,当前 demo 值通过的规则数
CBAM 输出,CBAM 输出字段数,20,CBAM 影子输出字段条数,前端层,前端导出记录数,51,后续前端/API 最适合直接读取的记录数
CBAM 输出,CBAM 已生成条数,20,公式已生成的条数,版本,当前版本,"""Enterprise Prototype v1 (2026-04-07)""",本次升级后的工作簿版本
,,,,,,,
,,,,,,,
建议使用顺序,,,,,,,
步骤,先看什么,为什么,你要做什么,系统自动做什么,结果去哪看,适合谁看,备注
1,01_手动输入,这是唯一的人工入口,只改 G 列实际输入值,自动带出元数据,01_手动输入,项目成员,不要改其他 Sheet
2,13_证据台账,确认有没有证据支撑,看哪些证据包还缺,按状态聚合,13_证据台账,合规/审查同学,先补高风险证据
3,14_校验规则,先排低级错误,看哪些规则没过,公式自动判定,14_校验规则,建模/数据同学,避免错把 demo 值当正式值
4,02/03 输出,生成对外口径,查看 EU 与 CBAM 结果,自动汇总,02_欧盟电池法输出 / 03_CBAM输出,讲比赛/汇报同学,适合展示
5,18_前端导出视图,方便做产品界面,给前端或 API 使用,拉平字段,18_前端导出视图,前端/产品同学,后续最容易接系统
,,,,,,,
,,,,,,,
工作簿导航,,,,,,,
Sheet,作用,是否手动填写,适合谁看,Sheet,作用,是否手动填写,适合谁看
01_手动输入,唯一人工入口,是,全部成员,08_生命周期计算过程,碳足迹计算拆解,否,LCA同学
02_欧盟电池法输出,欧盟电池法结果,否,汇报/法规,09_EU中间表,EU 中间结果,否,系统/前端
03_CBAM输出,CBAM 影子结果,否,汇报/采购/法规,10_CBAM中间表,CBAM 中间结果,否,系统/前端
04_字段映射过程,字段怎么转,否,建模同学,11_CATL公开披露架构,CATL 公开口径拆解,否,研究同学
05_证据映射过程,输出背后的证据,否,合规同学,12_字段字典,字段元数据中心,否,建模/治理
06_核验映射过程,谁来确认,否,核验/项目管理,13_证据台账,证据包清单,否,合规/审计
07_权限映射过程,谁能看什么,否,法务/IT/合规,14-18,规则/缺口/责任/前端导出,否,项目核心组
