证据映射：每个输出字段背后需要什么证据,,,,
,,,,
目标制度,目标字段,主要证据,触发逻辑,证据状态
EU,制造商名称,营业执照 / 年报 / 主体主数据,有主体名称即通过,证据齐备
EU,产品名称,产品主数据 / 型号注册表,有产品名即通过,证据齐备
EU,电池型号,型号注册表 / 产品主数据,有型号即通过,证据齐备
EU,产品类别,技术规格书 / 产品主数据,有类别即通过,证据齐备
EU,化学体系,规格书 / BOM,有化学体系即通过,证据齐备
EU,制造工厂代码,工厂注册表 / 生产登记,有工厂代码即通过,证据齐备
EU,制造工厂名称,工厂主数据,有工厂名即通过,证据齐备
EU,报告期,产品报告期规则 / 排产记录,有报告期即通过,证据齐备
EU,申报单元申报单元额定容量(kWh),规格书 / 测试报告,容量>0,证据齐备
EU,标称电压(V),规格书 / 测试报告,电压>0,证据齐备
EU,循环寿命(cycles),测试报告,循环寿命>0,证据齐备
EU,声明总碳足迹(kgCO2e/申报单元),PCF 底稿 / BOM / 能耗 / 运输 / 回收数据,PCF 底稿齐备,证据齐备
EU,声明总碳足迹(kgCO2e/kWh),PCF 底稿 / 容量数据,PCF 底稿齐备且容量>0,证据齐备
EU,原材料阶段(kgCO2e/kWh),BOM / 供应商PCF / 因子库,材料量和因子齐备,证据齐备
EU,制造阶段(kgCO2e/kWh),电表 / 蒸汽 / 燃气 / 工艺排放记录,工厂级能耗记录齐备,证据齐备
EU,运输阶段(kgCO2e/kWh),物流记录 / 路线清单,上下游运输数据齐备,证据齐备
EU,终端回收阶段(kgCO2e/kWh),回收方案 / 方法学说明,回收信用值已声明,证据齐备
EU,再生锂占比,质量平衡 / 供应商声明,再生锂字段已填,证据齐备
EU,再生钴占比,质量平衡 / 供应商声明,即使为0也应有说明,证据齐备
EU,再生镍占比,质量平衡 / 供应商声明,即使为0也应有说明,证据齐备
EU,再生铅占比,质量平衡 / 供应商声明,即使为0也应有说明,证据齐备
EU,尽调政策链接,官网政策 / 尽调制度文件,有链接即可,证据齐备
EU,关键原材料追溯范围,BOM / 追溯台账,有追溯范围描述即可,证据齐备
EU,供应链追溯覆盖率,追溯台账 / 供应商清单,覆盖率>=0.9为强,证据齐备
EU,产品碳足迹研究底稿状态,PCF 研究底稿,状态=齐备,证据齐备
EU,测试报告状态,测试报告原件,状态=齐备,证据齐备
EU,技术文档状态,技术文档 / 说明书 / 计算书,状态=齐备,证据齐备
EU,护照对象 ID,护照系统对象主键,对象ID不为空,证据齐备
EU,个体电池编码前缀,序列化规则,前缀不为空,证据齐备
EU,EU 输出完备度,系统自动汇总,完备度>=0.9,证据齐备
EU,EU 输出结论,系统自动汇总 + 人工复核,结论不为空,证据齐备
CBAM,电池型号,产品主数据,有型号即可,证据齐备
CBAM,产品报告期,产品报告期规则,有产品报告期即可,证据齐备
CBAM,上游材料报告期,供应商报告期记录,有上游报告期即可,证据齐备
CBAM,铝材供应商安装点 ID,安装点主数据,有安装点ID即可,证据齐备
CBAM,铝材质量(kg),BOM / 结构件清单,铝材质量>=0,证据齐备
CBAM,铝材直接排放因子(kgCO2e/kg),供应商PCF / 安装点因子,直接因子>=0,证据齐备
CBAM,铝材间接排放因子(kgCO2e/kg),供应商PCF / 电力因子,间接因子>=0,证据齐备
CBAM,铝材总嵌入排放(kgCO2e/申报单元),质量 x 因子计算链,质量和因子齐备,证据齐备
CBAM,铝材核验状态,供应商核验报告,状态=已核验,证据齐备
CBAM,钢材供应商安装点 ID,安装点主数据,有安装点ID即可,证据齐备
CBAM,钢材质量(kg),BOM / 结构件清单,钢材质量>=0,证据齐备
CBAM,钢材直接排放因子(kgCO2e/kg),供应商PCF / 安装点因子,直接因子>=0,证据齐备
CBAM,钢材间接排放因子(kgCO2e/kg),供应商PCF / 电力因子,间接因子>=0,证据齐备
CBAM,钢材总嵌入排放(kgCO2e/申报单元),质量 x 因子计算链,质量和因子齐备,证据齐备
CBAM,钢材核验状态,供应商核验报告,状态=已核验,证据齐备
CBAM,覆盖材料总嵌入排放(kgCO2e/申报单元),铝钢材料计算链,铝钢模块均齐备,证据齐备
CBAM,覆盖材料占整包总排放比重,CBAM 总量 / EU总碳足迹,EU+CBAM 两边结果都存在,证据齐备
CBAM,供应商 PCF 覆盖率,供应商PCF报告,覆盖率>=0.75,证据齐备
CBAM,CBAM 兼容输出完备度,系统自动汇总,完备度>=0.9,证据齐备
CBAM,CBAM 兼容输出结论,系统自动汇总 + 人工复核,结论不为空,证据齐备
