证据台账：把“有数据”与“有证据”分开管理,,,,,,,,,,
企业级合规工具不能只看有没有数值，还要看背后有没有可供审计、核验和追责的证据包。这里按证据包管理，不按单个文件碎片管理。,,,,,,,,,,
证据包ID,证据包名称,覆盖字段/输出,关键输入检查,当前状态,建议主要文件/系统,责任部门,核验需求,保密等级,主要服务对象,下一步建议
EVD-001,公司主体与尽调政策包,制造商名称 / 尽调政策链接,已具备,已具备,营业执照、年报、官网政策链接、尽调制度文件,法务与尽调团队,内部确认,公开或低敏,EU,把政策链接与正式制度文件建立一一对应
EVD-002,产品主数据包,产品名 / 型号 / 类别 / 化学体系,已具备,已具备,PLM 主数据、产品规格书、BOM主档,产品主数据团队,内部确认,内部受限,EU+CBAM,建立产品型号到护照对象的唯一映射
EVD-003,工厂与报告期锚点包,工厂代码 / 工厂名称 / 报告期,已具备,已具备,工厂主数据、产线清单、报告期规则,工厂EHS与主数据团队,内部确认,内部受限,EU+CBAM,把基地级披露继续拆到产品制造工厂级
EVD-004,技术文档与测试报告包,测试报告状态 / 技术文档状态,证据齐备,证据齐备,测试报告、规格书、说明书、计算书,法规合规团队,内部确认 + 后续第三方核验,内部受限,EU,把 Annex 风格文档做成固定目录结构
EVD-005,PCF 研究底稿包,PCF 研究状态 / 生命周期边界,证据齐备,证据齐备,LCA底稿、方法说明、边界说明、计算清单,LCA与碳核算团队,第三方/合规核验,商业敏感,EU,从 demo 因子切换到真实企业因子和版本管理
EVD-006,结构化护照数据包,护照对象 ID / 数据包状态,证据齐备,证据齐备,JSON/XML 数据包、对象主键、二维码规则,数字化产品团队,内部确认,内部受限,EU,为后续 Tractus-X / 前端接口准备统一对象结构
EVD-007,访问矩阵与保密控制包,分层访问矩阵状态,证据齐备,证据齐备,访问矩阵、角色权限表、数据分类分级规则,法务/IT/合规联合团队,内部确认,高度敏感,EU+CBAM,形成可给审计/监管看的权限规则说明
EVD-008,供应链追溯包,供应链追溯覆盖率,证据齐备,证据齐备,追溯台账、供应商清单、关键原材料范围,采购与供应链团队,内部确认 + 供应商抽核,商业敏感,EU+CBAM,优先把锂、石墨、铝、铜、钢追溯到供应商级
EVD-009,供应商 PCF 包,供应商 PCF 覆盖率,证据齐备,证据齐备,供应商PCF报告、因子库版本、计算方法说明,采购与碳核算团队,第三方/合规核验,商业敏感,EU+CBAM,建立欧盟可接受的因子来源和版本记录
EVD-010,材料用量主包,正负极/电解液/隔膜/金属/塑料质量,证据齐备,证据齐备,BOM、配方清单、结构件清单,研发BOM/LCA团队,内部确认,商业敏感,EU+CBAM,进一步拆到材料等级和供应商层
EVD-011,材料排放因子包,各材料 PCF / 因子,证据齐备,证据齐备,供应商PCF、行业因子库、方法学说明,采购与碳核算团队,第三方/合规核验,商业敏感,EU+CBAM,建立中国口径到欧盟口径的转换和替代逻辑
EVD-012,制造能耗与工艺排放包,电力 / 蒸汽 / 天然气 / 直接工艺排放,证据齐备,证据齐备,电表、蒸汽台账、燃气台账、MES、工艺排放记录,工厂EHS与能源团队,第三方/合规核验,高度敏感,EU+CBAM,把工厂级取数频率和留痕机制做起来
EVD-013,绿电证明包,绿电量 / 绿电因子,证据齐备,证据齐备,绿证、PPA、合同电量、匹配说明,能源团队,第三方/合规核验,内部受限,EU,补清楚时间匹配和地域匹配规则
EVD-014,运输与回收边界包,上下游运输 / 生命周期末端信用,证据齐备,证据齐备,物流记录、路线清单、回收方案、方法学说明,LCA与物流团队,第三方/合规核验,内部受限,EU,把运输模式与里程假设从 demo 切成真实路线
EVD-015,再生材料证明包,再生锂/铝/钢占比,证据齐备,证据齐备,质量平衡、供应商声明、再生料来源证明,采购与再生材料团队,第三方/合规核验,商业敏感,EU+CBAM,统一质量平衡方法，避免公开口径与产品口径打架
EVD-016,第三方核验声明包,第三方核验状态,证据齐备,证据齐备,核验报告、声明函、审计底稿索引,法规合规团队,第三方/合规核验,内部受限,EU+CBAM,把影子核验与正式核验路径分开管理
EVD-017,CBAM 铝材安装点包,铝安装点 ID / 核验状态,证据齐备,证据齐备,供应商安装点主数据、排放报告、核验报告,采购与上游核验团队,供应商核验 + 合规复核,高度敏感,CBAM,这是 CBAM 兼容模块最容易被欧盟追问的地方
EVD-018,CBAM 钢材安装点包,钢安装点 ID / 核验状态,证据齐备,证据齐备,供应商安装点主数据、排放报告、核验报告,采购与上游核验团队,供应商核验 + 合规复核,高度敏感,CBAM,跟铝材一起形成 upstream shadow audit 样板
