缺口清单：把 demo 和企业真正落地之间还差什么写清楚,,,,,,,,
这张表很重要，因为它帮助你诚实地讲：我们已经做到了什么，还没有做到什么，下一步先补哪几个洞。,,,,,,,,
Gap ID,缺口主题,当前状态,为什么重要,影响层,优先级,建议责任人,下一步里程碑,备注
GAP-001,公司级披露还没完全拆到产品+工厂级,已在结构上支持，但仍是 demo 值,欧盟电池法最看重 model + plant 级，不是公司年报级。,字段映射,P1,产品主数据+工厂EHS,建立型号-工厂-报告期绑定表,这是从 ESG 叙事走向产品合规的第一步
GAP-002,材料用量仍未拆到供应商/材料等级级别,当前只到申报单元聚合层,没有供应商层，EU 尽调和 CBAM 影子模块都会偏弱。,字段映射+证据映射,P1,研发BOM+采购,把关键原料拆到供应商和材料等级,铝、钢、锂、石墨优先
GAP-003,中国口径因子还未形成欧盟可接受转换规则,当前是 demo 因子,这是老师和欧盟最容易追问的点。,字段映射+核验映射,P1,LCA+法规合规,形成中欧因子转换说明和替代规则,也是 HKU 方案最有价值的地方
GAP-004,真实证据文件尚未建立索引仓,当前只有证据包逻辑，没有挂真实文件,没有证据仓，就还不是企业工具。,证据映射,P1,合规PMO+IT,建立证据索引与版本号,后续可接 SharePoint/DMS
GAP-005,第三方核验链还只是状态字段,当前没有真正接 NB/TUV 流程,没有正式核验，就不能当成对外法定结果。,核验映射,P1,法规合规团队,形成影子核验与正式核验双轨,要坦诚讲清楚
GAP-006,访问矩阵已建字段，但没接实际权限系统,逻辑层已搭好,企业最怕敏感数据扩散。,权限映射,P1,IT+法务+合规,把角色权限落到系统和接口,这是香港/欧盟/大陆三方信任的关键
GAP-007,个体电池序列化仍是前缀级 demo,还没到单只电池真实序列号,未来数字护照会更强调个体级数据。,字段映射,P2,数字化产品团队,建立序列号与护照对象映射,现在先用 prefix 过渡
GAP-008,绿电证明还缺时间匹配和地域匹配,当前只有数量和因子,欧盟对绿电认定比国内叙事更严格。,证据映射+核验映射,P2,能源团队,补 PPA/绿证的匹配规则,避免“名义绿电”争议
GAP-009,运输与回收仍偏方法学假设,当前是单条 demo 值,如果路线和边界不真实，PCF 很容易被质疑。,生命周期计算,P2,LCA与物流团队,按真实物流路径重算,适合第二阶段补
GAP-010,CBAM 模块目前是 upstream shadow audit，不是正式电池申报,概念上正确，法定范围需继续解释,必须避免把 CBAM 讲成已经直接覆盖整块电池。,方案叙事,P1,汇报主讲人,在 PPT 中明确“兼容上游 CBAM 风格字段”,这是可行性与严谨性的平衡点
GAP-011,Tractus-X/Catena-X 还没接真实连接器,当前仅完成表结构与前端适配层,没有接口就还不是自动传输系统。,前端/API,P2,数字化产品+前端,用前端导出视图做第一版 API schema,这一步已经具备工程起点
GAP-012,中国数据出境与香港中立角色仍需法务边界确认,方案层已识别风险,这是政治/法务风险，不是 Excel 能解决的。,治理层,P1,法务+管理层,形成不出敏感明细的最小披露策略,要持续诚实面对
