CATL 四层映射引擎 通用模板 - 手动输入总表,,,,,,,,,,,,,,,,,,,
说明：只有本 Sheet 允许手动修改。黄色列是实际输入值，模板默认填入通用示例值，后面所有 Sheet 都由公式自动拉取与计算。,,,,,,,,,,,,,,,,,,,
类别,字段代码,手动输入项（中文）,英文对应,单位,示例值,实际输入值,说明,常见证据,主要影响输出,字段数据类型,是否必填,录入方式,建议来源系统,字段责任人,保密等级,校验规则ID,缺口状态,可直接复用CATL公开披露?,下一步动作
A. 基本身份,manufacturer_name,制造商名称,manufacturer name,文本,CATL,CATL,公司主体识别字段,营业执照/年报,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,可直接复用,可直接引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,product_name,产品名称,product name,文本,CATL 通用电池产品模板（Generic Example）,CATL 通用电池产品模板（Generic Example）,用于任意 CATL 电池产品的模板名称，而非固定神行案例,产品主数据,EU,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,model_code,电池型号代码,battery model identifier,文本,GENERIC-BATTERY-MODEL-001,GENERIC-BATTERY-MODEL-001,通用模板的产品锚点，可替换为任意实际型号,型号注册表,EU+CBAM,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期
A. 基本身份,battery_category,产品业务类别,product business category,文本,EV battery / ESS battery / special application,EV battery / ESS battery / special application,这是业务和产品线分类；正式欧盟监管适用类别请看 regulatory_battery_class,技术规格书,EU,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,chemistry,化学体系,chemistry,文本,LFP / LMFP / NMC（模板示例）,LFP / LMFP / NMC（模板示例）,保留化学体系接口，但不绑定单一神行配方,BOM/规格书,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,公开或低敏,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,plant_code,制造工厂代码,plant code,文本,CN-PLANT-TEMPLATE-001,CN-PLANT-TEMPLATE-001,主要制造工厂代码；若产品还涉及单独总成装配地点，请同时填写 assembly_site_* 字段,工厂注册表,EU+CBAM,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期
A. 基本身份,plant_name,制造工厂名称,plant name,文本,某制造工厂（模板）,某制造工厂（模板）,主要制造工厂名称；用于绑定主申报工厂,工厂主数据,EU,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,reporting_period,产品报告期,reporting period,文本,2026Q1,2026Q1,模板示例周期，实际应用时按产品与工厂报告期填写,排产记录,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-012,需拆分到产品/工厂级,部分可引用,把公司级口径继续拆到型号+工厂+报告期
A. 基本身份,regulatory_battery_class,监管适用类别,regulatory battery class,文本,EV battery / rechargeable industrial battery,EV battery / rechargeable industrial battery,区分业务产品类别与欧盟监管适用类别，避免两者混在一起,法规适用性说明/认证范围,EU,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,declared_boundary_note,申报边界说明,declared boundary note,文本,includes cell + module + pack housing + BMS + cooling within declared unit,includes cell + module + pack housing + BMS + cooling within declared unit,明确申报单元到底包含哪些部件，是通用模板非常关键的边界字段,方法学说明/BOM 边界定义,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,cell_count_per_unit,申报单元电芯数量,cell count per declared unit,pcs/unit,120,120,支持从 cell 到 module、pack、system 的结构展开,BOM/结构清单,EU+CBAM,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,module_count_per_unit,申报单元模组数量,module count per declared unit,pcs/unit,12,12,当申报对象是 pack 或 system 时，这个接口能避免模板只会按单层结构理解,BOM/结构清单,EU+CBAM,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,assembly_site_code,总成装配地点代码,assembly site code,文本,ASSEMBLY-TEMPLATE-001,ASSEMBLY-TEMPLATE-001,支持电芯制造工厂与总成装配地点不一致的通用产品场景,工厂主数据/制造路线,EU+CBAM,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,assembly_site_name,总成装配地点名称,assembly site name,文本,某总成装配地点（模板）,某总成装配地点（模板）,若产品是系统级或 pack 级，这个字段可以承接最终装配环节,工厂主数据/制造路线,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,assembly_site_country,总成装配地点国家/地区,assembly site country or region,文本,China,China,便于后续扩展欧洲本地装配或多地装配的场景,工厂主数据/制造路线,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,product_series,产品系列/平台,product series / platform,文本,CATL 通用产品系列（Template）,CATL 通用产品系列（Template）,用于兼容不同产品线，例如神行、麒麟、储能系统等,产品主数据,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,application_scenario,应用场景,application scenario,文本,EV / ESS / special application,EV / ESS / special application,用于区分动力、储能或其他产品场景,产品主数据/规格书,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,product_level,申报对象层级,declared product level,文本,cell / module / pack / system,cell / module / pack / system,通用模板必须允许不同申报对象层级,产品主数据/护照规则,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,declared_unit,申报单位,declared unit,文本,1 battery pack / 1 system,1 battery pack / 1 system,便于未来不同产品或系统级申报,方法学说明,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,destination_market,目标市场,destination market,文本,EU,EU,同一模板可扩展到不同市场版本,项目主数据,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,plant_country,制造工厂所在国家,plant country,文本,China,China,为未来跨境工厂和欧洲本地工厂预留接口,工厂主数据,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,cell_form_factor,电芯形态,cell form factor,文本,prismatic / cylindrical / pouch,prismatic / cylindrical / pouch,为不同产品平台预留结构差异接口,规格书/产品主数据,EU,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,architecture_type,系统架构类型,architecture type,文本,CTP / module-pack / containerized ESS,CTP / module-pack / containerized ESS,避免模板只绑定到神行 CTP 场景,技术文档/产品主数据,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,total_product_mass_kg,产品总质量,total product mass,kg/unit,520,520,为不同产品级别和系统级方案预留总质量接口,规格书/BOM,EU+CBAM,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-008,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,pcf_method_version,碳足迹方法版本,PCF methodology version,文本,EU Battery CF Method / internal template v1,EU Battery CF Method / internal template v1,记录当前产品采用哪一版方法学,方法学说明/计算底稿,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,factor_library_version,因子库版本,factor library version,文本,Factor Library v1.0,Factor Library v1.0,为中欧因子口径转换和版本管理预留接口,因子库/方法说明,EU+CBAM,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,verification_report_id,核验报告编号,verification report ID,文本,VERIFY-TEMPLATE-001,VERIFY-TEMPLATE-001,便于后续把第三方核验真正挂接到字段层,核验声明/第三方报告,EU+CBAM,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,pack_capacity_kwh,申报单元额定容量,declared unit capacity,kWh/declared unit,60,60,无论当前申报对象是 cell、module、pack 还是 system，都按当前申报单元填写容量,规格书/测试报告,EU,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-003,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,nominal_voltage_v,标称电压,nominal voltage,V,400,400,产品公开参数,规格书/测试报告,EU,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-004,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,cycle_life_cycles,循环寿命,cycle life,cycles,3000,3000,护照参数层,测试报告,EU,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-004,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,individual_battery_prefix,个体电池编码前缀,battery prefix,文本,GEN26Q1,GEN26Q1,模板前缀，后续可扩展为任意序列化规则,序列化规则,EU,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,due_diligence_policy_url,尽调政策链接,due diligence policy URL,文本,https://www.catl.com/,https://www.catl.com/,尽调公开字段,政策文件/官网,EU,链接文本,是,主数据人工确认,法务/官网政策库,法务与尽调团队,公开或低敏,VAL-015,可直接复用,可直接引用,补安装点ID、核验报告和访问权限控制
A. 基本身份,qr_object_id,护照对象 ID,passport object id,文本,passport-generic-template-001,passport-generic-template-001,数字护照对象键,护照系统对象 ID,EU,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制
B. 合规准备状态,pcf_study_status,产品碳足迹研究底稿状态,PCF study status,文本,齐备,齐备,碳足迹声明底稿是否齐备,PCF 研究底稿,EU,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,test_report_status,测试报告状态,test report status,文本,齐备,齐备,正式合规评估硬材料,测试报告原件,EU,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,technical_doc_status,技术文档状态,technical documentation status,文本,齐备,齐备,Annex VIII 关键材料,图纸/说明书/计算书,EU,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,third_party_verification_status,第三方核验状态,third-party verification status,文本,已核验,已核验,碳足迹/再生料/上游 PCF 关键状态,核验声明,EU+CBAM,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,passport_data_package_status,护照数据包状态,passport data package status,文本,齐备,齐备,决定护照对象能否生成,结构化数据包,EU,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,access_matrix_status,分层访问矩阵状态,access matrix status,文本,齐备,齐备,保护数据主权的关键控制项,访问矩阵文档,EU+CBAM,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,supplier_traceability_coverage_pct,供应链追溯覆盖率,traceability coverage,%,0.92,0.92,越高越能支撑尽调与追溯,追溯台账,EU+CBAM,百分比(0-1小数),是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-007,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,supplier_pcf_coverage_pct,供应商 PCF 覆盖率,supplier PCF coverage,%,0.76,0.76,决定上游碳数据基础强度,供应商 PCF 报告,EU+CBAM,百分比(0-1小数),是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-007,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
B. 合规准备状态,critical_material_scope,关键原材料追溯范围,critical material scope,文本,lithium / graphite / aluminium / copper / steel,lithium / graphite / aluminium / copper / steel,当前模板默认覆盖的关键原材料，可按实际产品扩展或缩减,BOM/追溯记录,EU+CBAM,文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-001,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账
C. 材料用量,cathode_mass_kg,正极材料质量,cathode mass,kg/declared unit,140,140,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,anode_mass_kg,负极材料质量,anode mass,kg/declared unit,70,70,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,electrolyte_mass_kg,电解液质量,electrolyte mass,kg/declared unit,35,35,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,separator_mass_kg,隔膜质量,separator mass,kg/declared unit,12,12,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,copper_mass_kg,铜材质量,copper mass,kg/declared unit,50,50,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,aluminium_mass_kg,铝材质量,aluminium mass,kg/declared unit,80,80,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU+CBAM,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,steel_mass_kg,钢材质量,steel mass,kg/declared unit,30,30,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU+CBAM,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,plastic_mass_kg,塑料件质量,plastic mass,kg/declared unit,25,25,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
C. 材料用量,other_material_mass_kg,其他材料质量,other material mass,kg/declared unit,100,100,按当前申报单元填报，而不是默认按单个电池包填报,BOM,EU,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM
D. 材料排放因子,cathode_pcf,正极材料排放因子,cathode PCF,kgCO2e/kg,5,5,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,anode_pcf,负极材料排放因子,anode PCF,kgCO2e/kg,6.5,6.5,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,electrolyte_pcf,电解液排放因子,electrolyte PCF,kgCO2e/kg,8,8,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,separator_pcf,隔膜排放因子,separator PCF,kgCO2e/kg,4.5,4.5,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
