02_欧盟电池法输出（全部自动公式）,,,,,,,
说明：本 Sheet 不允许手动输入，只展示系统自动生成的结果。,,,,,,,
模块,输出字段,单位,自动输出值,证据状态,核验层级,访问层级,当前状态
基本信息,制造商名称,文本,CATL,证据齐备,内部确认,公开,已生成
基本信息,产品名称,文本,CATL 通用电池产品模板（Generic Example）,证据齐备,内部确认,公开,已生成
基本信息,电池型号,文本,GENERIC-BATTERY-MODEL-001,证据齐备,内部确认,受限,已生成
基本信息,产品类别,文本,EV battery / ESS battery / special application,证据齐备,内部确认,公开,已生成
基本信息,化学体系,文本,LFP / LMFP / NMC（模板示例）,证据齐备,内部确认,公开,已生成
基本信息,制造工厂代码,文本,CN-PLANT-TEMPLATE-001,证据齐备,内部确认,受限,已生成
基本信息,制造工厂名称,文本,某制造工厂（模板）,证据齐备,内部确认,受限,已生成
基本信息,报告期,文本,2026Q1,证据齐备,内部确认,受限,已生成
产品参数,申报单元申报单元额定容量(kWh),kWh,72,证据齐备,测试+内部确认,公开,已生成
产品参数,标称电压(V),V,800,证据齐备,测试+内部确认,公开,已生成
产品参数,循环寿命(cycles),cycles,4000,证据齐备,测试+内部确认,公开,已生成
碳足迹,声明总碳足迹(kgCO2e/申报单元),kgCO2e/declared unit,3525.957446808511,证据齐备,第三方/合规核验,公开,已生成
碳足迹,声明总碳足迹(kgCO2e/kWh),kgCO2e/kWh,48.97163120567376,证据齐备,第三方/合规核验,公开,已生成
碳足迹,原材料阶段(kgCO2e/kWh),kgCO2e/kWh,44.23611111111111,证据齐备,第三方/合规核验,受限,已生成
碳足迹,制造阶段(kgCO2e/kWh),kgCO2e/kWh,4.360520094562649,证据齐备,第三方/合规核验,受限,已生成
碳足迹,运输阶段(kgCO2e/kWh),kgCO2e/kWh,0.5833333333333334,证据齐备,第三方/合规核验,受限,已生成
碳足迹,终端回收阶段(kgCO2e/kWh),kgCO2e/kWh,-0.2083333333333333,证据齐备,第三方/合规核验,受限,已生成
再生材料,再生锂占比,%,0.08,证据齐备,第三方/合规核验,公开,已生成
再生材料,再生钴占比,%,0,证据齐备,第三方/合规核验,公开,已生成
再生材料,再生镍占比,%,0,证据齐备,第三方/合规核验,公开,已生成
再生材料,再生铅占比,%,0,证据齐备,第三方/合规核验,公开,已生成
尽调与追溯,尽调政策链接,文本,https://www.catl.com/,证据齐备,法务/内部确认,公开,已生成
尽调与追溯,关键原材料追溯范围,文本,lithium / graphite / aluminium / copper / steel,证据齐备,内部确认,公开,已生成
尽调与追溯,供应链追溯覆盖率,%,0.92,证据齐备,内部确认 + 抽样复核,受限,已生成
文件与护照,产品碳足迹研究底稿状态,文本,齐备,证据齐备,内部确认,内部,已生成
文件与护照,测试报告状态,文本,齐备,证据齐备,内部确认,内部,已生成
文件与护照,技术文档状态,文本,齐备,证据齐备,内部确认,内部,已生成
文件与护照,护照对象 ID,文本,passport-demo-001,证据齐备,内部确认,受限,已生成
文件与护照,个体电池编码前缀,文本,SXP25Q4,证据齐备,内部确认,受限,已生成
综合状态,EU 输出完备度,%,1,证据齐备,系统自动判定 + PMO复核,内部,已生成
综合状态,EU 输出结论,文本,可作为通用模板示例输出,证据齐备,系统自动判定 + 管理层复核,公开,已生成
