03_CBAM输出（全部自动公式）,,,,,,,
说明：本 Sheet 不允许手动输入，只展示系统自动生成的结果。,,,,,,,
模块,输出字段,单位,自动输出值,证据状态,核验层级,访问层级,当前状态
基础锚点,电池型号,文本,GENERIC-BATTERY-MODEL-001,证据齐备,内部确认,受限,已生成
基础锚点,产品报告期,文本,2026Q1,证据齐备,内部确认,受限,已生成
基础锚点,上游材料报告期,文本,2025Q4,证据齐备,内部确认,受限,已生成
铝材模块,铝材供应商安装点 ID,文本,AL-SUP-001,证据齐备,供应商确认 + 内部复核,高度受限,已生成
铝材模块,铝材质量(kg),kg,80,证据齐备,内部确认,受限,已生成
铝材模块,铝材直接排放因子(kgCO2e/kg),kgCO2e/kg,9,证据齐备,供应商核验 + 合规复核,高度受限,已生成
铝材模块,铝材间接排放因子(kgCO2e/kg),kgCO2e/kg,5,证据齐备,供应商核验 + 合规复核,高度受限,已生成
铝材模块,铝材总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,1120,证据齐备,供应商核验 + 合规复核,受限,已生成
铝材模块,铝材核验状态,文本,已核验,证据齐备,供应商核验 + 内部确认,内部,已生成
钢材模块,钢材供应商安装点 ID,文本,ST-SUP-001,证据齐备,供应商确认 + 内部复核,高度受限,已生成
钢材模块,钢材质量(kg),kg,30,证据齐备,内部确认,受限,已生成
钢材模块,钢材直接排放因子(kgCO2e/kg),kgCO2e/kg,2,证据齐备,供应商核验 + 合规复核,高度受限,已生成
钢材模块,钢材间接排放因子(kgCO2e/kg),kgCO2e/kg,0.7,证据齐备,供应商核验 + 合规复核,高度受限,已生成
钢材模块,钢材总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,81,证据齐备,供应商核验 + 合规复核,受限,已生成
钢材模块,钢材核验状态,文本,已核验,证据齐备,供应商核验 + 内部确认,内部,已生成
汇总,覆盖材料总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,1201,证据齐备,合规复核,受限,已生成
汇总,覆盖材料占整包总排放比重,%,0.3406167028723148,证据齐备,合规复核,受限,已生成
汇总,供应商 PCF 覆盖率,%,0.76,证据齐备,内部确认 + 抽样复核,内部,已生成
综合状态,CBAM 兼容输出完备度,%,1,证据齐备,系统自动判定 + PMO复核,内部,已生成
综合状态,CBAM 兼容输出结论,文本,可作为上游碳数据通用兼容模块示例,证据齐备,系统自动判定 + 管理层复核,公开,已生成
