10_CBAM中间表,,,
,,,
分组,目标字段,单位,当前结果预览
基础锚点,电池型号,文本,GENERIC-BATTERY-MODEL-001
基础锚点,产品报告期,文本,2026Q1
基础锚点,上游材料报告期,文本,2025Q4
铝材模块,铝材供应商安装点 ID,文本,AL-SUP-001
铝材模块,铝材质量(kg),kg,80
铝材模块,铝材直接排放因子(kgCO2e/kg),kgCO2e/kg,9
铝材模块,铝材间接排放因子(kgCO2e/kg),kgCO2e/kg,5
铝材模块,铝材总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,1120
铝材模块,铝材核验状态,文本,已核验
钢材模块,钢材供应商安装点 ID,文本,ST-SUP-001
钢材模块,钢材质量(kg),kg,30
钢材模块,钢材直接排放因子(kgCO2e/kg),kgCO2e/kg,2
钢材模块,钢材间接排放因子(kgCO2e/kg),kgCO2e/kg,0.7
钢材模块,钢材总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,81
钢材模块,钢材核验状态,文本,已核验
汇总,覆盖材料总嵌入排放(kgCO2e/申报单元),kgCO2e/declared unit,1201
汇总,覆盖材料占整包总排放比重,%,0.3406167028723148
汇总,供应商 PCF 覆盖率,%,0.76
综合状态,CBAM 兼容输出完备度,%,1
综合状态,CBAM 兼容输出结论,文本,可作为上游碳数据通用兼容模块示例
