核验映射：谁来确认每一类数据,,,
,,,
目标制度,目标字段,字段类型,核验层级
EU,制造商名称,主体识别,内部确认
EU,产品名称,产品主数据,内部确认
EU,电池型号,产品主数据,内部确认
EU,产品类别,产品分类,内部确认
EU,化学体系,技术主数据,内部确认
EU,制造工厂代码,工厂主数据,内部确认
EU,制造工厂名称,工厂主数据,内部确认
EU,报告期,报告锚点,内部确认
EU,申报单元申报单元额定容量(kWh),性能参数,测试+内部确认
EU,标称电压(V),性能参数,测试+内部确认
EU,循环寿命(cycles),性能参数,测试+内部确认
EU,声明总碳足迹(kgCO2e/申报单元),碳足迹结果,第三方/合规核验
EU,声明总碳足迹(kgCO2e/kWh),碳足迹结果,第三方/合规核验
EU,原材料阶段(kgCO2e/kWh),阶段拆分结果,第三方/合规核验
EU,制造阶段(kgCO2e/kWh),阶段拆分结果,第三方/合规核验
EU,运输阶段(kgCO2e/kWh),阶段拆分结果,第三方/合规核验
EU,终端回收阶段(kgCO2e/kWh),阶段拆分结果,第三方/合规核验
EU,再生锂占比,再生材料声明,第三方/合规核验
EU,再生钴占比,再生材料声明,第三方/合规核验
EU,再生镍占比,再生材料声明,第三方/合规核验
EU,再生铅占比,再生材料声明,第三方/合规核验
EU,尽调政策链接,政策公开字段,法务/内部确认
EU,关键原材料追溯范围,追溯范围声明,内部确认
EU,供应链追溯覆盖率,覆盖率指标,内部确认 + 抽样复核
EU,产品碳足迹研究底稿状态,合规准备状态,内部确认
EU,测试报告状态,合规准备状态,内部确认
EU,技术文档状态,合规准备状态,内部确认
EU,护照对象 ID,系统对象主键,内部确认
EU,个体电池编码前缀,序列化规则,内部确认
EU,EU 输出完备度,系统汇总指标,系统自动判定 + PMO复核
EU,EU 输出结论,系统结论,系统自动判定 + 管理层复核
CBAM,电池型号,产品主数据,内部确认
CBAM,产品报告期,报告锚点,内部确认
CBAM,上游材料报告期,上游报告期锚点,内部确认
CBAM,铝材供应商安装点 ID,安装点主数据,供应商确认 + 内部复核
CBAM,铝材质量(kg),材料主数据,内部确认
CBAM,铝材直接排放因子(kgCO2e/kg),上游排放因子,供应商核验 + 合规复核
CBAM,铝材间接排放因子(kgCO2e/kg),上游排放因子,供应商核验 + 合规复核
CBAM,铝材总嵌入排放(kgCO2e/申报单元),CBAM 影子计算结果,供应商核验 + 合规复核
CBAM,铝材核验状态,核验状态,供应商核验 + 内部确认
CBAM,钢材供应商安装点 ID,安装点主数据,供应商确认 + 内部复核
CBAM,钢材质量(kg),材料主数据,内部确认
CBAM,钢材直接排放因子(kgCO2e/kg),上游排放因子,供应商核验 + 合规复核
CBAM,钢材间接排放因子(kgCO2e/kg),上游排放因子,供应商核验 + 合规复核
CBAM,钢材总嵌入排放(kgCO2e/申报单元),CBAM 影子计算结果,供应商核验 + 合规复核
CBAM,钢材核验状态,核验状态,供应商核验 + 内部确认
CBAM,覆盖材料总嵌入排放(kgCO2e/申报单元),影子汇总结果,合规复核
CBAM,覆盖材料占整包总排放比重,兼容分析指标,合规复核
CBAM,供应商 PCF 覆盖率,覆盖率指标,内部确认 + 抽样复核
CBAM,CBAM 兼容输出完备度,系统汇总指标,系统自动判定 + PMO复核
CBAM,CBAM 兼容输出结论,系统结论,系统自动判定 + 管理层复核
