校验规则：把 demo 变成真正可防错的原型,,,,,,,
这里不是法律条文原文，而是把“录错了就会出事”的地方，翻成普通人看得懂的检查规则。,,,,,,,
规则ID,规则名称,适用字段,普通话解释,失败后说明,重要性,当前结果,主要影响制度
VAL-001,必填字段不能为空,通用主键字段,制造商、型号、工厂、报告期这些最基本字段不能空着。,空了就没有产品锚点，后面全断。,P1,通过,EU+CBAM
VAL-002,代码类字段必须存在,model_code / plant_code / *_id,产品代码、工厂代码、对象ID、安装点ID必须有。,没有唯一 ID，系统无法对接也无法追责。,P1,通过,EU+CBAM
VAL-003,容量必须大于 0,pack_capacity_kwh,碳足迹要折算成每 kWh，容量不能为 0。,容量错误会导致整张 PCF 表失真。,P1,通过,EU
VAL-004,核心产品参数必须为正数,nominal_voltage_v / cycle_life_cycles,电压、循环寿命至少要像个正常产品参数。,如果是 0 或空值，说明主数据没准备好。,P2,通过,EU
VAL-005,产品类别和化学体系不能缺,battery_category / chemistry,这是欧盟理解产品是什么的第一层信息。,缺了就无法归类。,P1,通过,EU
VAL-006,状态字段必须落在可理解状态中,各类 *_status,状态不能乱写，至少要在齐备/待补充/已核验这些词里。,状态乱写会让项目经理和审计都看不懂。,P2,通过,EU+CBAM
VAL-007,百分比字段要在 0 到 1 之间,coverage / recycled / yield,这张表统一用 0.92 这种小数，不用 92。,格式错了会把结果放大 100 倍。,P1,通过,EU+CBAM
VAL-008,质量数据不能为负,各类 *_mass_kg,材料质量不能小于 0。,负数通常是录错单位或录错方向。,P1,通过,EU+CBAM
VAL-009,排放因子不能为负,各类 pcf / factor,因子最少也应该是 0，不应该出现负数。,因子错误会把计算全部带偏。,P1,通过,EU+CBAM
VAL-010,制造能耗数据不能为负,电/蒸汽/天然气/运输,工厂能耗和运输排放不能录成负数。,这是最常见的单位和符号错误。,P1,通过,EU+CBAM
VAL-011,良率必须在 0 到 1 之间,production_yield_pct,良率如果超过 1，基本就是把 94% 误填成 94。,会严重误导单位产品分摊。,P1,通过,EU
VAL-012,产品报告期和上游报告期要能对齐,reporting_period / upstream_reporting_period,上下游报告期最好一致，至少要能解释得通。,不对齐时最容易被质疑数据拼接。,P2,失败,EU+CBAM
VAL-013,有铝钢质量就要有安装点 ID,aluminium / steel installation,只要铝材和钢材用量大于 0，就应带出安装点 ID。,否则 CBAM 影子链条无法落到 installation 级。,P1,通过,CBAM
VAL-014,正式合规状态要互相印证,PCF / 测试 / 技术 / 第三方,如果说已经准备合规，就不能只有结果没有文档和核验状态。,这是 demo 变正式项目时最容易露馅的地方。,P1,通过,EU+CBAM
VAL-015,尽调政策链接要像个链接,due_diligence_policy_url,至少要以 http 开头，方便检查。,没有链接，公开字段会断。,P3,通过,EU
