责任链与版本：没有 owner 和版本，企业系统就不算真的存在,,,,,,
上半部分回答“谁负责什么”，下半部分回答“这份工具现在是什么版本、改了什么”。,,,,,,
角色,主要职责,重点字段/对象,审核频率,建议 owner,升级前状态,升级后状态
产品主数据团队,维护型号、产品分类、对象ID,manufacturer/product/model/qr object,每次产品变更,产品数字化负责人,只有基础输入字段,已补到字段字典和前端导出视图
工厂EHS与能源团队,维护工厂、能耗、工艺排放,plant/energy/process,每月/每季,工厂EHS经理,只有 demo 值,已补到证据包和校验规则
LCA与碳核算团队,维护 PCF 方法、边界、因子,PCF/运输/回收/因子,每次规则更新,LCA负责人,只有计算过程,已补到证据台账和假设限制
采购与供应链团队,维护供应商追溯、供应商PCF、再生料,supplier traceability/PCF/recycled content,每季,采购可持续负责人,只有覆盖率字段,已补到缺口清单和证据包
法规合规团队,维护合规状态、第三方核验、对外输出,status/verification/EU outputs,每次报送前,法规合规经理,只有输出表,已补到规则、责任链、缺口优先级
法务/IT/权限团队,维护权限矩阵、数据分类、接口控制,access/confidentiality,每次角色变更,法务或IT治理负责人,只有一张权限映射表,已补到权限治理和前端导出层
项目 PMO / HKU 研究组,维护版本、方法论说明、演示文件,dictionary/gaps/assumptions/logs,每次迭代,项目经理/研究助理,无系统化版本说明,已形成版本与日志入口
,,,,,,
,,,,,,
版本记录,,,,,,
版本号,日期,变更摘要,为什么改,主要新增 Sheet/能力,适合谁用,备注
v0_demo,2026-04-07,初版四层映射 demo,先把 EU / CBAM 兼容逻辑跑通,01-11,比赛讨论,更像方法 demo
v1_enterprise_prototype,2026-04-07,补齐治理、证据、缺口、责任链和前端导出层,把 demo 往企业原型推进,"00, 12-18",比赛 + 产品原型 + 团队协作,仍不是法定申报系统
